,M_CE1939,M_CE1940,M_CE1941,M_CE1944,M_urea,M_ametam,M_pyr,M_CE1556,M_ac,M_spmd,M_N1aspmd,M_sprm,M_CE1059,M_nadh,M_crtn,M_ptrc,M_1pyr5c,M_glu_L,M_HC00591,M_gly,M_glu5sa,M_5oxpro,M_ahcys,M_amet,M_n8aspmd,M_pcreat,M_coa,M_creat,M_5mta,M_13dampp,M_4abutn,M_CE4788,M_gln_L,M_gthrd,M_C03413,M_orn,M_asn_L,M_gudac,M_N1sprm,M_ala_L,M_adp,M_lys_L,M_acorn,M_2obut,M_nad,M_arg_L,M_akg,M_accoa,M_CE2072,M_CE5588,M_CE5586,M_atp
M_N1aspmd,0.017803828588856676,0.017803828588856676,0.01306408207443902,0.01902827330346175,0.00532382979093137,0.012886596468759571,0.028138716984692287,0.028776063861524977,0.02702485898862298,0.024788074962044406,0.0,0.026158612772748856,0.08610407160082274,0.0005552025380067472,0.0009058172549492849,0.04129922643522053,0.0029918078974405585,0.001712641638137425,0.0007321478816364499,0.0045952425328402,0.005339895568719725,0.0015951538307388698,0.003055258701889349,0.0033182201769936183,0.0380326081225343,0.001260700179930962,0.053751928429315206,0.001967805502613299,0.011736547858945302,0.020336918763898284,0.027962116549650032,0.08650304277934108,0.0010147140503532165,0.002677183471494725,0.07967096234507277,0.015090547038769359,0.02427699128806669,0.0032428287587986907,0.05454650192581751,0.012536161833657394,0.0010961382987528287,0.01306408207443902,0.017695693194115614,0.0007146295417918005,0.0007739437053365305,0.006175850137393375,0.0008375664125720383,0.04995891295831976,0.01306408207443902,0.017803828588856676,0.018013690458234696,0.0012797291281494226
M_sprm,0.028643314849855134,0.028643314849855134,0.021017873293167635,0.02124096715290584,0.0030177999950065583,0.07560313880946876,0.009793995671451686,0.009803918779001638,0.0092946643915084,0.03987977296223691,0.025160747134544362,0.0,0.02007004935985767,0.004041383238010457,0.0040011491503650735,0.021337878051324352,0.0012432622941852525,0.0007578678543319191,0.0003239858380588829,0.0026652678848667,0.002166350052343447,0.0007058778864060298,0.02223957101444788,0.024153697047482055,0.029644871131308943,0.005568727177185382,0.018229112916093766,0.008692130769967304,0.0918080381592946,0.0316069849676634,0.02472802082043885,0.04274423342920846,0.00044902524439765406,0.0014494376711726579,0.03637259774120811,0.006021798414939715,0.00827109819068945,0.004070182880376061,0.06771570396598971,0.004836959722114388,0.00797891545259953,0.021017873293167635,0.006452806975451638,0.0003162337522597675,0.005633625184023679,0.0035007657268895007,0.0003706349645613686,0.019060618464810143,0.021017873293167635,0.02864331484985513,0.026341172805076665,0.009315293037389939
M_CE1059,0.01155728486033648,0.01155728486033648,0.008480497170484966,0.011491493492890498,0.003812579878688942,0.008510751349247754,0.03719724581903137,0.03769584293405596,0.03444586927688377,0.017553906360580806,0.08744828459977733,0.017542427457197127,0.0,0.0003776200918021476,0.0007101586221335864,0.029569916399085013,0.002150360635005742,0.0013627581879070922,0.0005825741392856887,0.005460030467939318,0.0036876867337336566,0.0012692726193390099,0.0020780295119133003,0.002256882575203153,0.04153044181380658,0.00098838625615877,0.07133263036853998,0.0015427549783454408,0.007751219808550558,0.013099551012154086,0.01629122774014815,0.059123950635319444,0.0008074136097826059,0.002885999106023815,0.060048767553063646,0.010135065309625936,0.03180218299212373,0.002914447744860573,0.03746642837455867,0.01629878597831405,0.0007455370104504958,0.008480497170484966,0.018542739220453998,0.0005686347189648123,0.0005263968574704135,0.0044227411785280205,0.000666456299606455,0.06629902928570869,0.008480497170484966,0.011557284860336478,0.011451111269741571,0.0008704057588188547
M_nadh,0.0019369416444021245,0.0019369416444021245,0.0014212878259418703,0.0014542841441773145,0.003032174869556415,0.02148760795652418,0.0011344780061240778,0.000499956509932654,0.0005676389628135009,0.0029419446826532084,0.001309925514429363,0.008199678859801465,0.0009894062238449384,0.0,0.010493827993817042,0.0015714462473032946,0.00041153525187808933,0.0003884438576614292,0.0001660583585603034,0.003134083935067431,0.0005601310638970203,0.0003617965561985278,0.06033580166765226,0.06552881318650626,0.0018229672903361245,0.014605121377418302,0.0008395615877074417,0.022796882531741797,0.01956997267300891,0.0021394776815985106,0.0017108912623149536,0.0015212666419404822,0.00023014716983056017,0.0014837534616390555,0.00133478609175933,0.0012508261184433927,0.0004217894522886139,0.008320130897065443,0.002558157148936187,0.001815734456177798,0.1829505366230132,0.0014212878259418703,0.0007834537256115464,0.00016208503721247772,0.29322319248832784,0.0035174408845247583,0.00018996836537466905,0.0008778574979473756,0.0014212878259418703,0.001936941644402124,0.0017863088416370972,0.2135926637576868
M_crtn,0.0018089576226201808,0.0018089576226201808,0.0013273757870544815,0.0015988121676907593,0.02381097965436227,0.01771277918645366,0.006494124889588034,0.0012416894285960007,0.0018696437992959988,0.002747554769617733,0.0017791504334572093,0.006970668142438092,0.0015985760433686951,0.008968334919947658,0.0,0.0031942499058212176,0.0028776826080713206,0.0029026085605306233,0.00124085493818003,0.024966053161903045,0.0037041010134711105,0.0027034888939999444,0.0493523918714368,0.05360007786474055,0.0020994844453124505,0.3156839542262571,0.001642996320046279,0.18498198583369094,0.016132023876642226,0.0020266508426172265,0.002117946449901181,0.0017547579867834306,0.0017197518565949786,0.011735406145902605,0.0016820956574574123,0.007740580515420753,0.0010475540981890186,0.06717112122782427,0.0025480979765372474,0.013515661070605523,0.017706212714186605,0.0013273757870544815,0.00417696076577169,0.0012111647091436197,0.012501720020434638,0.027621664364831683,0.0014195197064320356,0.0017179402213367135,0.0013273757870544815,0.0018089576226201806,0.0017360505389033111,0.02067180103456441
M_ptrc,0.02442031776371007,0.02442031776371007,0.017919125246423098,0.06348698118247396,0.02158012658922319,0.0146980356471343,0.009532060978570935,0.012008137130494501,0.017255275947588283,0.0340001404913412,0.047306707019932774,0.021920654000842955,0.03289367388452264,0.0007000268951128902,0.0017160389165073301,0.0,0.01228163992772354,0.006180177394878276,0.00264200404256795,0.004945416224196963,0.022890889533802892,0.005756215627884088,0.003852221022609357,0.004183776098531352,0.025801759652848255,0.0023883523839421184,0.016682959858778115,0.0037279379228776343,0.013386327468823695,0.03232925594089358,0.07944430753306429,0.031344684419696726,0.0036616619478116452,0.00478462084453065,0.027372379951845466,0.049902856485759484,0.010130692011139213,0.008413579298495254,0.022890717083118045,0.0057524585230015485,0.0013820657812801448,0.017919125246423098,0.03638844689919249,0.0025787881835187404,0.000975826975502192,0.025033787830125026,0.003022413517991311,0.017443938965707655,0.017919125246423098,0.024420317763710068,0.035238564664185235,0.0016135457488985266
M_1pyr5c,0.001509165085053154,0.001509165085053154,0.0011073941839553735,0.003056031676975943,0.019513805146342718,0.0012824810573021654,0.006610360611264771,0.004261051673171622,0.009210375339003266,0.0022922116331762273,0.003966928148295327,0.001623528739741701,0.0032035560379066776,0.00022640127911618848,0.0018402814270895068,0.015022894285875589,0.0,0.10222432972087644,0.05244064994965868,0.022571765902032942,0.14190012228684015,0.1142540566396889,0.0012458771136982924,0.0013531077903727402,0.0024821547708499176,0.0025612704760474905,0.0029515021372534004,0.0039978431708892525,0.0011680275507937703,0.0018950479950112231,0.005489464738180091,0.00248318932119266,0.07267964942387903,0.0632950737470798,0.002512645871042871,0.054722425830424956,0.003594845858457284,0.012406218109095361,0.0020251786183507485,0.012495106447169071,0.0004469846418525787,0.0011073941839553735,0.02789199006117633,0.05118589027001235,0.00031559975812635364,0.02263677457160077,0.05999132600917936,0.0030861323970225595,0.0011073941839553735,0.0015091650850531538,0.0019334077691888615,0.0005218495757525064
M_glu_L,0.0012691442573398745,0.0012691442573398745,0.0009312718648679657,0.002461709840751986,0.018164964923540586,0.0013284679833422464,0.012199135135333744,0.003793781831476096,0.007609416383330279,0.0019276534097105499,0.0034462184588071225,0.0014994720797156672,0.0031032957278531105,0.00031811119249881153,0.002761070213348718,0.011856598997838285,0.11989704793348033,0.0,0.14462292608872818,0.046654859938661815,0.10839631271038032,0.10589158602530672,0.0017505532771495867,0.001901220753968061,0.0024173450136732934,0.003842807865102415,0.0031960048831076895,0.005998172727689222,0.0012099104764932932,0.0015808120276614161,0.00438235164146956,0.0022684070137383113,0.10669726864105404,0.06944618232845257,0.0024008494535423383,0.04276654417746114,0.0032006326029235055,0.018752895876223835,0.0019299797849334987,0.025280775607440246,0.0006280479479441679,0.0009312718648679657,0.021966150977867412,0.13039586812705467,0.0004434420677802603,0.0210720673173958,0.10188512332771289,0.003341787942572925,0.0009312718648679657,0.0012691442573398743,0.0015954154206875828,0.0007332388111329539
M_HC00591,0.00044461269262112787,0.00044461269262112787,0.0003262476232480298,0.0008544351637584885,0.006492671816009274,0.0004837761928372186,0.004761952336913037,0.0013445293506013515,0.002655757545047386,0.0006753048220990914,0.0012153995493359058,0.0005351674588505461,0.0011172557544047884,0.00012083404171035575,0.0010565062697622488,0.004096521171080103,0.07325664252521011,0.10767318303527829,0.0,0.018379339346524953,0.0557546118383023,0.10028677468924886,0.0006649455948942534,0.0007221766545212458,0.000871119982445694,0.001470426656116741,0.0011721389940160694,0.0022951634436150776,0.00044060225934668953,0.0005528531850628736,0.0015180347283226443,0.0008079268896858295,0.16830459368728307,0.054956900188144524,0.0008622425363413003,0.01474298801292259,0.0011343152275910305,0.007181416666282124,0.0006928045713989908,0.00994283809029488,0.0002385634024171701,0.0003262476232480298,0.007585730014127439,0.20568683689010242,0.00016844106678349754,0.007531752246733065,0.160713901091183,0.0012256051441402811,0.0003262476232480298,0.0004446126926211278,0.0005566707841088933,0.00027851981737099296
M_gly,0.0019514279921496436,0.0019514279921496436,0.0014319175726439145,0.002223051258630852,0.04125252032028131,0.004621350028668141,0.12606686614383095,0.009577686855673723,0.01032840712753452,0.002963947386992845,0.007345504146270637,0.004018739859530037,0.011579080703530432,0.0017678668021847794,0.01636684222589134,0.007021652250782761,0.030494410606833635,0.0425372088070873,0.01818450722303028,0.0,0.025814233461658155,0.03961914518772839,0.009728500293920223,0.010565817386595705,0.009121712678506437,0.022779076357709212,0.016608350346281033,0.035555468955714285,0.004208923162664083,0.0022453716795776115,0.003361873983372926,0.006505726709405662,0.025202655109442043,0.10515577597761336,0.0084570501026248,0.018461296244632754,0.00808023711638156,0.07461472546459373,0.006619000971175197,0.13872976630236666,0.0034903046916813997,0.0014319175726439145,0.012360134644363464,0.01774940226844704,0.0024643785628350088,0.04785453160431279,0.02080280672077388,0.017365926198249386,0.0014319175726439145,0.0019514279921496434,0.002013134468888122,0.004074891185555981
